lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
bbe,ADP,133568,4,5,1470,1595
nhe,ADP,75803,4,5,971,1093
proton,ADP,32690,25,54,6065,7006
transgender,DET,22530,0,31,796,2774
thruout,ADP,21064,164,320,1899,2182
bypass,ADP,21029,42,186,2935,4012
thethethethe,DET,18730,0,3,425,2484
kjb,ADP,18063,0,1,195,2219
gonna,PRT,17807,1,248,1330,2435
tomato,PRT,17370,986,1413,2848,2944
knockout,ADP,13710,65,105,1223,1620
ligand,CONJ,13554,5,7,1635,1940
sesame,DET,13423,494,584,1735,1837
alfalfa,DET,13002,2880,4390,3654,4133
ofofofof,ADP,12266,0,2,280,1347
ylt,PRON,11158,0,2,117,191
sunflower,DET,11114,916,1103,2508,2579
website,PRON,10875,0,8,709,1740
phonon,ADP,9353,1,85,1712,2845
thuringiensis,ADP,9323,2,181,1313,2181
afp,ADP,9319,0,2,640,1471
outta,ADP,9289,10,25,676,781
annja,DET,8853,0,833,255,2302
andandandand,CONJ,8795,0,1,199,979
isbn,ADP,8320,0,33,822,1572
andand,CONJ,8266,12,13,317,326
meself,PRON,8122,585,590,910,923
pyr,ADP,7774,9,9,124,127
ref,PRT,7624,89,647,1509,1762
thethethethethe,DET,7263,0,62,171,1612
allograft,DET,7140,0,217,852,1752
thaliana,DET,6309,3,8,652,903
actinomycin,ADP,6300,3,151,819,1394
thymus,ADP,5859,108,131,798,903
outbound,ADP,5808,342,979,1014,1386
inhalation,ADP,5603,132,183,1122,1243
php,ADP,5458,0,4,264,442
inininin,ADP,5451,0,3,124,766
aerosol,DET,5382,2,182,1026,1518
lsbn,ADP,5166,0,1374,476,1685
offeror,ADP,5142,9,32,735,877
mainland,CONJ,4839,62,76,836,941
epub,PRON,4562,0,11,109,561
andandandandand,CONJ,4474,0,58,107,1012
totototo,PRT,4428,0,0,100,277
lifestyle,ADP,4381,0,81,405,983
ofofofofof,ADP,4371,0,68,106,792
lnc,ADP,4347,8,30,382,539
magneto,DET,4156,520,643,639,759
byby,ADP,4046,3,4,77,98
dut,PRON,4020,6,6,46,48
gotta,DET,4020,11,88,306,513
ferritin,ADP,3954,3,24,589,843
internationale,ADP,3868,88,210,600,806
argon,ADP,3859,98,121,684,839
abstr,ADP,3857,0,4,218,296
allozyme,DET,3808,0,23,384,783
abdomen,ADP,3720,597,597,867,871
overrides,ADP,3648,91,103,449,503
annexure,DET,3228,36,62,362,471
ofarticle,ADP,3219,3,3,168,213
atubangan,ADP,3144,0,2,35,255
foraminifer,ADP,3110,19,23,271,342
issn,ADP,3080,4,6,253,304
subhead,CONJ,3079,2,101,161,272
queer,CONJ,3076,168,169,266,268
inyong,ADP,3055,0,4,35,85
meperidine,PRON,3031,0,978,531,1136
howard,PRT,2991,58,74,241,260
upto,DET,2987,13,20,553,664
ospf,ADP,2918,0,1935,192,1599
apolipoprotein,ADP,2888,0,32,360,819
plasma,ADP,2871,43,92,478,676
antiaircraft,DET,2861,2,1594,818,1359
windfall,ADP,2804,15,29,292,358
rainwater,PRT,2792,45,46,324,333
quintile,ADP,2750,2,118,257,479
somatomedin,ADP,2748,0,188,144,394
azithromycin,ADP,2745,0,280,207,847
agglutinin,ADP,2658,106,412,401,610
algae,DET,2627,120,187,608,688
almond,CONJ,2599,60,74,283,303
socioecon,ADP,2591,0,4,73,342
byte,DET,2585,0,1,365,481
niemand,CONJ,2584,15,17,73,81
nail,DET,2574,121,130,382,398
ofafrican,ADP,2570,1,1,94,132
lnterior,ADP,2556,13,23,294,365
secondhand,CONJ,2546,431,462,693,700
paar,CONJ,2517,0,10,81,170
neuron,ADP,2517,16,27,290,369
decr,ADP,2506,0,1,63,104
tototototo,PRT,2476,0,29,59,392
forfor,ADP,2443,11,11,106,107
latency,ADP,2432,4,21,355,477
amorphous,ADP,2423,129,130,429,431
bisan,ADP,2417,0,3,26,70
youse,PRON,2396,106,175,233,305
messy,PRON,2396,9,19,181,229
ayon,ADP,2378,2,3,35,41
uplink,ADP,2376,0,580,229,739
nylon,DET,2347,2,1144,630,972
ibabaw,ADP,2334,0,0,27,152
anhydrite,DET,2277,195,296,549,584
ininininin,ADP,2254,0,36,54,514
twee,DET,2239,29,29,129,130
neem,DET,2219,4,9,260,330
outfielder,ADP,2217,3,56,230,392
ihren,ADP,2214,51,52,117,123
forforforfor,ADP,2203,0,1,49,290
lib,PRON,2179,5,6,129,145
benzo,ADP,2167,46,93,321,447
nonquota,DET,2146,0,102,150,297
interquartile,ADP,2122,1,78,168,310
mindfulness,CONJ,2121,2,8,88,141
ngadto,ADP,2083,0,1,23,99
ofjapanese,ADP,2073,5,17,129,179
alayhi,DET,2055,0,8,57,160
itititit,PRON,2053,0,2,46,232
portland,CONJ,2049,184,442,571,652
siphon,ADP,2025,691,713,776,787
annosus,CONJ,2022,46,83,221,266
nucleus,CONJ,2003,122,130,345,367
ihm,ADP,1993,20,22,63,68
itjust,PRON,1991,10,10,82,83
xxx,PRON,1988,125,127,334,335
telehealth,DET,1979,0,39,158,534
airbome,DET,1958,0,115,155,378
lnst,ADP,1953,5,6,136,149
thermoluminescence,DET,1950,3,107,254,429
omdat,ADP,1948,1,4,49,68
oscilloscope,ADP,1945,2,638,417,693
americanus,ADP,1903,436,448,486,495
withwithwithwith,ADP,1902,0,7,43,445
ofvarious,ADP,1894,7,7,84,85
inbound,ADP,1865,84,283,324,440
fuer,ADP,1862,40,45,195,214
beliefin,ADP,1859,15,15,93,94
shit,CONJ,1858,1,2,136,174
outcrop,PRT,1858,310,396,448,518
torpedo,DET,1830,333,380,442,484
femur,ADP,1807,151,174,329,352
withwith,ADP,1763,9,9,71,72
atrophy,ADP,1744,92,110,253,277
bybybyby,ADP,1736,0,18,39,531
testis,PRON,1723,64,85,412,441
instn,ADP,1720,4,6,103,127
subband,CONJ,1714,0,175,169,458
startup,ADP,1700,0,93,210,409
additive,DET,1698,1,41,266,429
followup,ADP,1690,5,16,220,270
medroxyprogesterone,PRON,1676,0,756,272,693
andlor,CONJ,1671,10,25,261,311
wirst,ADP,1661,9,11,37,42
itelocke,PRON,1651,0,0,38,117
besef,ADP,1644,0,4,52,95
ofloxacin,ADP,1609,0,1132,197,806
benzoyl,ADP,1604,357,410,536,647
ofwhite,ADP,1604,4,5,59,66
tsp,ADP,1602,3,20,182,237
neurokinin,ADP,1586,0,56,129,398
alpaca,DET,1581,306,345,387,420
bootstrap,DET,1574,0,119,198,428
ofwhere,ADP,1571,1,1,54,66
sdc,ADP,1570,0,79,78,500
optimum,PRT,1548,11,157,352,481
cyclin,ADP,1545,0,77,141,508
thatthatthatthat,DET,1541,0,3,34,436
wantto,PRT,1534,30,32,108,112
anubhava,DET,1532,10,18,92,119
anode,DET,1529,67,563,396,534
typedef,ADP,1525,0,695,137,633
lce,ADP,1517,67,80,263,283
lndex,ADP,1513,0,14,76,150
