lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
anand,CONJ,8461,73,76,1434,1448
tendon,ADP,8344,121,131,890,915
yerself,PRON,7420,336,351,749,785
wurde,ADP,5163,141,142,422,426
foer,ADP,4612,4,5,324,352
boldface,DET,4567,89,388,906,1231
assignor,ADP,4165,947,957,1173,1190
alfa,DET,3350,64,64,346,348
thereunder,PRON,2998,1047,1162,1079,1110
listener,ADP,2714,115,115,400,402
wideband,ADP,2707,3,4,464,514
variance,ADP,2689,9,10,397,418
fofr,ADP,2557,4,4,67,67
atound,ADP,2406,4,4,84,88
kangaroo,DET,2286,321,323,585,588
xix,CONJ,2222,169,174,405,407
nonemployer,CONJ,1999,0,4,50,352
lcaho,ADP,1927,0,11,105,386
insrt,ADP,1888,0,479,73,590
lllus,ADP,1759,5,10,72,98
becouse,ADP,1749,28,29,250,251
dgn,ADP,1741,0,2,45,74
instill,ADP,1680,82,83,279,283
lraq,ADP,1439,0,53,71,214
moot,PRON,1433,33,34,290,296
providing,ADP,1388,286,289,346,350
thankyou,PRON,1308,12,12,112,113
lowand,CONJ,1191,5,6,202,205
animalsl,DET,1191,0,1,29,58
varus,ADP,1189,35,41,139,153
aq,ADP,1187,6,6,73,73
interf,ADP,1154,16,17,107,110
besonderer,ADP,1141,397,447,418,449
oror,CONJ,1092,8,8,39,40
ofengland,CONJ,1086,19,19,56,57
nays,ADP,1083,11,31,81,116
blll,DET,1074,0,77,81,138
anorher,DET,1067,8,8,51,53
depict,PRT,1007,42,42,176,180
asaignor,ADP,1004,1,7,37,60
lndoor,ADP,984,1,5,59,96
aaaignor,ADP,956,0,5,29,65
behind,PRT,956,34,35,124,127
after,ADP,953,6,6,53,55
whereafter,ADP,946,87,89,226,227
trout,PRT,910,196,196,272,273
abscissa,DET,899,208,215,262,264
behaviour,PRT,894,5,6,112,118
theologia,DET,883,40,40,120,121
fucr,ADP,883,2,5,37,60
occult,ADP,863,39,40,126,129
angina,DET,857,69,69,185,186
ofjudicial,ADP,857,8,11,44,46
symbof,ADP,856,0,82,52,262
backgammon,PRT,855,72,73,132,135
lilay,ADP,849,0,1,31,47
lssaquah,ADP,834,0,2,22,72
aasignor,ADP,833,1,5,31,50
annexa,DET,829,21,22,94,94
lllay,ADP,829,0,1,34,100
assent,DET,826,6,7,52,53
lndustrial,ADP,816,2,7,88,143
adverae,DET,798,0,1,20,49
mg,PRON,793,6,6,107,110
offear,ADP,792,2,2,42,43
yum,PRON,787,7,7,48,50
annulata,DET,771,179,180,203,204
alcaldia,DET,769,0,3,26,46
anchorage,DET,756,117,123,208,212
inclusive,ADP,755,209,211,212,214
andfixtures,CONJ,753,0,239,39,243
atorre,ADP,747,0,206,26,245
benzazepin,ADP,744,0,269,17,352
det,PRT,740,6,6,28,31
chrome,DET,739,375,414,327,351
iuror,ADP,736,0,1,18,28
lfthe,DET,735,18,18,65,66
thru,DET,735,100,108,174,176
scientificatlanta,DET,731,0,234,32,259
talus,ADP,719,152,152,224,225
lacr,ADP,709,0,1,17,32
irself,PRON,705,7,7,34,34
befote,ADP,694,11,11,36,36
oblig,PRT,689,1,2,24,25
hyena,DET,688,21,22,91,94
mealtime,PRON,684,29,30,109,110
liefore,ADP,683,89,90,141,142
sie,ADP,676,17,17,43,44
oftrade,ADP,665,2,3,39,44
thejapanese,DET,663,4,9,56,77
chat,ADP,660,7,7,55,59
ibid,PRT,657,5,8,43,51
lietween,ADP,644,70,70,106,106
ireat,ADP,637,71,71,116,117
ofsin,ADP,636,9,9,31,31
nspf,ADP,635,0,107,53,145
weave,PRON,635,168,172,180,182
anvsa,DET,634,0,36,16,149
androgynous,CONJ,618,25,25,111,112
itit,PRON,617,8,8,24,25
latn,ADP,617,0,1,15,20
plumosus,CONJ,598,121,134,146,154
fronmer,ADP,598,0,232,21,230
ifif,ADP,593,10,10,26,27
sooo,DET,584,32,32,66,66
thot,PRON,584,60,61,105,105
byjust,ADP,569,3,3,28,29
ofhonor,ADP,568,4,5,23,26
werde,ADP,564,3,4,12,14
piss,CONJ,562,2,2,42,50
tiptoe,PRON,553,30,30,60,61
