lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
thethethethe,DET,18730,0,3,425,2484
annja,DET,8853,0,833,255,2302
andand,CONJ,8266,12,13,317,326
meself,PRON,8122,585,590,910,923
pyr,ADP,7774,9,9,124,127
thethethethethe,DET,7263,0,62,171,1612
lsbn,ADP,5166,0,1374,476,1685
epub,PRON,4562,0,11,109,561
andandandandand,CONJ,4474,0,58,107,1012
ofofofofof,ADP,4371,0,68,106,792
dut,PRON,4020,6,6,46,48
abdomen,ADP,3720,597,597,867,871
subhead,CONJ,3079,2,101,161,272
queer,CONJ,3076,168,169,266,268
howard,PRT,2991,58,74,241,260
ospf,ADP,2918,0,1935,192,1599
almond,CONJ,2599,60,74,283,303
nail,DET,2574,121,130,382,398
secondhand,CONJ,2546,431,462,693,700
forfor,ADP,2443,11,11,106,107
amorphous,ADP,2423,129,130,429,431
anhydrite,DET,2277,195,296,549,584
ininininin,ADP,2254,0,36,54,514
twee,DET,2239,29,29,129,130
neem,DET,2219,4,9,260,330
ihren,ADP,2214,51,52,117,123
benzo,ADP,2167,46,93,321,447
siphon,ADP,2025,691,713,776,787
itjust,PRON,1991,10,10,82,83
xxx,PRON,1988,125,127,334,335
americanus,ADP,1903,436,448,486,495
ofvarious,ADP,1894,7,7,84,85
beliefin,ADP,1859,15,15,93,94
femur,ADP,1807,151,174,329,352
withwith,ADP,1763,9,9,71,72
bybybyby,ADP,1736,0,18,39,531
cyclin,ADP,1545,0,77,141,508
thatthatthatthat,DET,1541,0,3,34,436
lce,ADP,1517,67,80,263,283
lndex,ADP,1513,0,14,76,150
ullamcorper,ADP,1468,0,277,32,472
volutpat,CONJ,1427,0,220,28,507
accomplice,DET,1415,96,106,259,280
persistence,ADP,1368,56,73,212,267
thumbnail,DET,1349,1,53,112,194
throughput,PRON,1332,0,221,203,435
algebra,ADP,1278,54,54,253,256
meropenem,PRON,1262,0,312,81,465
thisthisthisthis,DET,1261,0,2,28,358
forforforforfor,ADP,1241,0,17,29,281
thionyl,DET,1230,151,355,296,435
zoey,PRON,1222,0,103,42,309
leftover,PRT,1213,2,55,128,194
fundus,ADP,1210,68,71,175,184
abn,ADP,1205,8,9,55,57
usedfor,ADP,1185,28,28,82,82
theytheytheythey,PRON,1179,0,1,26,381
min,CONJ,1158,16,19,95,102
alang,ADP,1142,21,22,37,37
ofmost,ADP,1122,7,7,56,56
analysand,CONJ,1115,0,96,112,253
butbutbutbut,CONJ,1109,0,2,24,357
somatotropin,ADP,965,0,228,82,251
thrombosis,ADP,962,15,29,99,143
thethethe,DET,959,0,189,35,252
ofvitamin,ADP,934,0,21,39,92
withwithwithwithwith,ADP,925,0,13,21,237
temporomandibular,ADP,914,0,116,133,268
sniff,PRON,913,28,35,94,108
pero,ADP,909,15,16,56,58
ew,PRT,908,133,134,169,172
