lexeme,part_of_speech,max_usage,median_all,median_in_use,mean_all,mean_in_use
assignor,ADP,4165,947,957,1173,1190
besonderer,ADP,1141,397,447,418,449
chrome,DET,739,375,414,327,351
postureland,CONJ,374,0,374,8,208
yerself,PRON,7420,336,351,749,785
kangaroo,DET,2286,321,323,585,588
providing,ADP,1388,286,289,346,350
benzazepin,ADP,744,0,269,17,352
textform,PRON,250,0,250,5,250
oppendix,PRT,257,0,226,5,143
abscissa,DET,899,208,215,262,264
inclusive,ADP,755,209,211,212,214
obshchej,ADP,467,0,206,26,182
trout,PRT,910,196,196,272,273
inismf,ADP,347,0,193,11,163
annulata,DET,771,179,180,203,204
xix,CONJ,2222,169,174,405,407
weave,PRON,635,168,172,180,182
ieeeinst,ADP,164,0,164,3,137
whichwork,DET,154,0,154,3,128
talus,ADP,719,152,152,224,225
beoause,ADP,398,149,149,144,145
thisisathis,DET,143,0,143,3,119
wurde,ADP,5163,141,142,422,426
plumosus,CONJ,598,121,134,146,154
articleunderdistributedthetermsof,ADP,130,0,130,3,108
obliquus,ADP,480,128,129,130,131
outslg,ADP,243,0,116,8,117
listener,ADP,2714,115,115,400,402
of,PRT,545,110,112,126,127
instns,ADP,440,0,112,23,139
intaglio,DET,377,107,111,122,126
operat,PRON,415,110,110,122,123
inmme,ADP,395,0,110,15,131
besrelih,ADP,205,0,109,7,116
eouteut,CONJ,200,0,109,4,125
nspf,ADP,635,0,107,53,145
thetasub,DET,287,0,106,10,113
freshness,CONJ,227,99,100,93,94
oftheunder,ADP,99,0,99,2,83
lmpact,CONJ,153,0,94,18,75
liefore,ADP,683,89,90,141,142
oertain,ADP,221,90,90,86,87
alsoforeign,DET,215,0,90,5,103
whereafter,ADP,946,87,89,226,227
otficer,ADP,448,85,86,109,110
renewalfor,ADP,164,0,86,9,78
instill,ADP,1680,82,83,279,283
considershimself,ADP,126,0,83,2,70
atlon,ADP,291,81,82,97,98
airapt,DET,154,0,81,6,74
yourrentor,PRON,93,0,81,2,58
ourourourourour,PRON,199,0,80,4,90
rrein,ADP,119,0,79,2,74
thickness,DET,351,78,78,110,110
olcar,ADP,121,0,78,7,71
anand,CONJ,8461,73,76,1434,1448
forevermore,ADP,368,75,76,91,93
backgammon,PRT,855,72,73,132,135
sovetska,DET,121,0,73,2,67
